timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1508060394377,2080,OSCM - EXC - 0010 - setUp OS Command,200,OK,setUp Thread Group 1-1,text,true,,4,0,1,1,0,0,0
1508060396641,46,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-1,text,true,,0,0,1,1,0,0,0
1508060396764,5,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-2,text,true,,0,0,2,2,0,0,0
1508060396687,83,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-1,text,true,,0,0,2,2,0,0,0
1508060396770,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-2,text,true,,0,0,2,2,0,0,0
1508060396861,126,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-3,text,true,,0,0,4,4,0,0,0
1508060396962,25,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-4,text,true,,0,0,4,4,0,0,0
1508060396987,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-3,text,true,,0,0,4,4,0,0,0
1508060396987,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-4,text,true,,0,0,4,4,0,0,0
1508060396989,8,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-3,text,true,,0,0,4,4,0,0,0
1508060396772,226,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-2,text,true,,0,0,4,4,0,0,0
1508060396989,9,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-4,text,true,,0,0,4,4,0,0,0
1508060396770,267,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-1,text,true,,0,0,4,4,0,0,0
1508060397062,201,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-5,text,true,,0,0,7,7,0,0,0
1508060397165,98,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-6,text,true,,0,0,7,7,0,0,0
1508060397262,1,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-7,text,true,,0,0,7,7,0,0,0
1508060397263,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-5,text,true,,0,0,7,7,0,0,0
1508060397266,12,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-5,text,true,,0,0,7,7,0,0,0
1508060397263,16,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-6,text,true,,0,0,7,7,0,0,0
1508060397279,1,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-6,text,true,,0,0,7,7,0,0,0
1508060397263,17,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-7,text,true,,0,0,7,7,0,0,0
1508060397280,2,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-7,text,true,,0,0,7,7,0,0,0
1508060397366,0,PROF - 0010 - EXC - NormalTraffic,200,OK,Thread Group 1-8,text,true,,0,0,8,8,0,0,0
1508060397367,2,PROF - 0020 - EXC - Random main action,200,OK,Thread Group 1-8,text,true,,0,0,8,8,0,0,0
1508060397369,1,FTUT - 0010 - EXC - JSR223 Sampler - FunctionUtils,200,OK,Thread Group 1-8,text,true,,0,0,8,8,0,0,0
1508060397279,122,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-5,text,true,,357,0,8,8,0,0,0
1508060397370,31,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-8,text,true,,357,0,8,8,0,0,0
1508060396998,403,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-2,text,true,,357,0,8,8,0,0,0
1508060397037,365,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-1,text,true,,357,0,7,7,0,0,0
1508060396999,403,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-4,text,true,,357,0,7,7,0,0,0
1508060397283,120,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-7,text,true,,357,0,7,7,0,0,0
1508060396998,405,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-3,text,true,,357,0,7,7,0,0,0
1508060397280,123,LPDT - 0010 - EXC - JSR223 Sampler - Load PRODUCTS_DATA,200,,Thread Group 1-6,text,true,,357,0,6,6,0,0,0
